execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
64,2023-09-07 16:04:43.431541,41.2,73.8,409920,12,True,19.0
63,2023-09-07 16:04:43.515322,40.7,73.8,409920,12,True,14.0
77,2023-09-07 16:04:43.599482,42.9,73.8,409920,12,True,20.0
67,2023-09-07 16:04:43.683169,42.3,73.8,409920,12,True,14.0
67,2023-09-07 16:04:43.767142,42.4,73.8,409920,12,True,23.0
65,2023-09-07 16:04:43.851134,41.6,73.8,409920,12,True,16.0
69,2023-09-07 16:04:43.935017,42.9,73.8,409920,12,True,26.0
74,2023-09-07 16:04:44.019469,42.0,73.8,409920,12,True,16.0
66,2023-09-07 16:04:44.103020,42.0,73.8,409920,12,True,22.0
61,2023-09-07 16:04:44.187895,40.0,73.8,409920,12,True,14.0
63,2023-09-07 16:04:44.271638,40.7,73.8,409920,12,True,19.0
60,2023-09-07 16:04:44.355290,39.8,73.8,409920,12,True,15.0
71,2023-09-07 16:04:44.439387,43.7,73.8,409920,12,True,18.0
66,2023-09-07 16:04:44.523455,41.9,73.8,409920,12,True,12.0
64,2023-09-07 16:04:44.607193,41.2,73.8,409920,12,True,8.0
59,2023-09-07 16:04:44.690579,39.2,73.8,409920,12,True,9.0
66,2023-09-07 16:04:44.775019,42.1,73.8,409920,12,True,42.0
60,2023-09-07 16:04:44.859392,39.6,73.8,409920,12,True,47.0
65,2023-09-07 16:04:44.944028,41.7,73.8,409920,12,True,90.0
62,2023-09-07 16:04:45.027665,40.3,73.8,409920,12,True,60.0
70,2023-09-07 16:04:45.111743,40.7,73.8,409920,12,True,72.0
62,2023-09-07 16:04:45.195717,40.3,73.8,409920,12,True,48.0
69,2023-09-07 16:04:45.279859,40.3,73.8,409920,12,True,81.0
62,2023-09-07 16:04:45.363852,40.3,73.8,409920,12,True,29.0
63,2023-09-07 16:04:45.447499,40.7,73.8,409920,12,True,13.0
66,2023-09-07 16:04:45.531376,41.9,73.8,409920,12,True,17.0
77,2023-09-07 16:04:45.615629,43.0,73.8,409920,12,True,20.0
72,2023-09-07 16:04:45.699488,43.9,73.8,409920,12,True,15.0
62,2023-09-07 16:04:45.783437,40.6,73.8,409920,12,True,30.0
63,2023-09-07 16:04:45.867488,40.7,73.8,409920,12,True,15.0
63,2023-09-07 16:04:45.951565,40.9,73.8,409920,12,True,15.0
65,2023-09-07 16:04:46.035444,41.5,73.8,409920,12,True,16.0
69,2023-09-07 16:04:46.119429,42.9,73.8,409920,12,True,25.0
69,2023-09-07 16:04:46.203382,42.9,73.8,409920,12,True,19.0
69,2023-09-07 16:04:46.287044,42.9,73.8,409920,12,True,31.0
75,2023-09-07 16:04:46.371531,42.1,73.8,409920,12,True,19.0
63,2023-09-07 16:04:46.455581,40.7,73.8,409920,12,True,32.0
62,2023-09-07 16:04:46.539309,40.3,73.8,409920,12,True,22.0
80,2023-09-07 16:04:46.623528,43.7,73.8,409920,12,True,29.0
69,2023-09-07 16:04:46.707366,43.2,73.8,409920,12,True,20.0
69,2023-09-07 16:04:46.791253,42.9,73.8,409920,12,True,28.0
67,2023-09-07 16:04:46.875123,42.4,73.8,409920,12,True,17.0
63,2023-09-07 16:04:46.959016,40.7,73.8,409920,12,True,28.0
68,2023-09-07 16:04:47.043189,40.0,73.8,409920,12,True,20.0
70,2023-09-07 16:04:47.127141,43.3,73.8,409920,12,True,27.0
69,2023-09-07 16:04:47.211059,42.9,73.8,409920,12,True,16.0
63,2023-09-07 16:04:47.294760,41.0,73.8,409920,12,True,22.0
68,2023-09-07 16:04:47.379008,39.8,73.8,409920,12,True,13.0
62,2023-09-07 16:04:47.463082,40.4,73.7,409920,12,True,28.0
62,2023-09-07 16:04:47.546888,40.3,73.7,409920,12,True,19.0
56,2023-09-07 16:04:47.630543,38.3,73.7,409920,12,True,27.0
78,2023-09-07 16:04:47.714813,43.3,73.7,409920,12,True,18.0
56,2023-09-07 16:04:47.798337,38.0,73.7,409920,12,True,21.0
69,2023-09-07 16:04:47.882698,43.0,73.7,409920,12,True,10.0
72,2023-09-07 16:04:47.968298,41.4,73.7,409920,12,True,18.0
70,2023-09-07 16:04:48.051200,43.5,73.7,409920,12,True,15.0
64,2023-09-07 16:04:48.134844,41.2,73.7,409920,12,True,37.0
