execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
26,2023-05-24 14:30:18.412574,0,0,0,0
23,2023-05-24 14:30:18.478106,0,0,0,0
16,2023-05-24 14:30:18.540134,0,0,0,0
16,2023-05-24 14:30:18.609504,0,0,0,0
15,2023-05-24 14:30:18.677703,0,0,0,0
16,2023-05-24 14:30:18.747648,0,0,0,0
17,2023-05-24 14:30:18.817836,0,0,0,0
14,2023-05-24 14:30:18.883809,0,0,0,0
22,2023-05-24 14:30:18.960442,0,0,0,0
21,2023-05-24 14:30:19.028789,0,0,0,0
19,2023-05-24 14:30:19.095666,0,0,0,0
19,2023-05-24 14:30:19.164401,0,0,0,0
19,2023-05-24 14:30:19.233686,0,0,0,0
19,2023-05-24 14:30:19.302150,0,0,0,0
15,2023-05-24 14:30:19.367299,0,0,0,0
16,2023-05-24 14:30:19.436763,0,0,0,0
16,2023-05-24 14:30:19.506189,0,0,0,0
17,2023-05-24 14:30:19.576415,0,0,0,0
16,2023-05-24 14:30:19.644128,0,0,0,0
17,2023-05-24 14:30:19.714077,0,0,0,0
54,2023-05-24 14:30:19.819658,0,0,0,0
19,2023-05-24 14:30:19.874572,0,0,0,0
55,2023-05-24 14:30:19.979778,0,0,0,0
30,2023-05-24 14:30:20.045973,0,0,0,0
20,2023-05-24 14:30:20.104826,0,0,0,0
21,2023-05-24 14:30:20.174367,0,0,0,0
23,2023-05-24 14:30:20.245222,0,0,0,0
18,2023-05-24 14:30:20.309612,0,0,0,0
16,2023-05-24 14:30:20.377311,0,0,0,0
16,2023-05-24 14:30:20.446712,0,0,0,0
17,2023-05-24 14:30:20.516231,0,0,0,0
17,2023-05-24 14:30:20.584951,0,0,0,0
17,2023-05-24 14:30:20.654111,0,0,0,0
40,2023-05-24 14:30:20.746356,0,0,0,0
18,2023-05-24 14:30:20.799863,0,0,0,0
23,2023-05-24 14:30:20.873792,0,0,0,0
19,2023-05-24 14:30:20.938795,0,0,0,0
18,2023-05-24 14:30:21.006975,0,0,0,0
27,2023-05-24 14:30:21.085106,0,0,0,0
22,2023-05-24 14:30:21.148604,0,0,0,0
21,2023-05-24 14:30:21.216233,0,0,0,0
31,2023-05-24 14:30:21.295378,0,0,0,0
20,2023-05-24 14:30:21.352785,0,0,0,0
21,2023-05-24 14:30:21.422612,0,0,0,0
17,2023-05-24 14:30:21.487258,0,0,0,0
53,2023-05-24 14:30:21.591670,0,0,0,0
19,2023-05-24 14:30:21.646192,0,0,0,0
21,2023-05-24 14:30:21.717061,0,0,0,0
21,2023-05-24 14:30:21.785793,0,0,0,0
19,2023-05-24 14:30:21.852750,0,0,0,0
20,2023-05-24 14:30:21.921650,0,0,0,0
21,2023-05-24 14:30:21.991925,0,0,0,0
18,2023-05-24 14:30:22.056722,0,0,0,0
31,2023-05-24 14:30:22.137837,0,0,0,0
19,2023-05-24 14:30:22.194038,0,0,0,0
17,2023-05-24 14:30:22.260665,0,0,0,0
21,2023-05-24 14:30:22.333054,0,0,0,0
27,2023-05-24 14:30:22.408091,0,0,0,0
18,2023-05-24 14:30:22.468341,0,0,0,0
20,2023-05-24 14:30:22.539302,0,0,0,0
25,2023-05-24 14:30:22.612835,0,0,0,0
25,2023-05-24 14:30:22.681317,0,0,0,0
20,2023-05-24 14:30:22.744878,0,0,0,0
19,2023-05-24 14:30:22.812640,0,0,0,0
18,2023-05-24 14:30:22.880855,0,0,0,0
19,2023-05-24 14:30:22.951057,0,0,0,0
19,2023-05-24 14:30:23.020295,0,0,0,0
47,2023-05-24 14:30:23.116659,0,0,0,0
20,2023-05-24 14:30:23.172340,0,0,0,0
20,2023-05-24 14:30:23.241585,0,0,0,0
29,2023-05-24 14:30:23.319506,0,0,0,0
21,2023-05-24 14:30:23.379971,0,0,0,0
18,2023-05-24 14:30:23.445963,0,0,0,0
18,2023-05-24 14:30:23.514997,0,0,0,0
22,2023-05-24 14:30:23.587559,0,0,0,0
21,2023-05-24 14:30:23.655701,0,0,0,0
22,2023-05-24 14:30:23.725088,0,0,0,0
22,2023-05-24 14:30:23.793869,0,0,0,0
17,2023-05-24 14:30:23.858022,0,0,0,0
19,2023-05-24 14:30:23.929239,0,0,0,0
22,2023-05-24 14:30:24.000914,0,0,0,0
22,2023-05-24 14:30:24.069387,0,0,0,0
21,2023-05-24 14:30:24.136781,0,0,0,0
18,2023-05-24 14:30:24.202562,0,0,0,0
16,2023-05-24 14:30:24.269137,0,0,0,0
15,2023-05-24 14:30:24.337158,0,0,0,0
15,2023-05-24 14:30:24.406358,0,0,0,0
16,2023-05-24 14:30:24.475800,0,0,0,0
17,2023-05-24 14:30:24.545996,0,0,0,0
13,2023-05-24 14:30:24.611092,0,0,0,0
24,2023-05-24 14:30:24.691492,0,0,0,0
20,2023-05-24 14:30:24.756350,0,0,0,0
19,2023-05-24 14:30:24.824529,0,0,0,0
22,2023-05-24 14:30:24.896525,0,0,0,0
28,2023-05-24 14:30:24.971590,0,0,0,0
16,2023-05-24 14:30:25.028558,0,0,0,0
17,2023-05-24 14:30:25.098112,0,0,0,0
16,2023-05-24 14:30:25.165720,0,0,0,0
15,2023-05-24 14:30:25.234003,0,0,0,0
19,2023-05-24 14:30:25.307222,0,0,0,0
42,2023-05-24 14:30:25.399521,0,0,0,0
22,2023-05-24 14:30:25.456772,0,0,0,0
19,2023-05-24 14:30:25.522400,0,0,0,0
21,2023-05-24 14:30:25.593431,0,0,0,0
17,2023-05-24 14:30:25.658482,0,0,0,0
14,2023-05-24 14:30:25.724615,0,0,0,0
29,2023-05-24 14:30:25.808489,0,0,0,0
18,2023-05-24 14:30:25.865969,0,0,0,0
16,2023-05-24 14:30:25.933197,0,0,0,0
16,2023-05-24 14:30:26.002008,0,0,0,0
21,2023-05-24 14:30:26.076050,0,0,0,0
18,2023-05-24 14:30:26.141368,0,0,0,0
25,2023-05-24 14:30:26.217530,0,0,0,0
17,2023-05-24 14:30:26.278650,0,0,0,0
16,2023-05-24 14:30:26.346404,0,0,0,0
26,2023-05-24 14:30:26.425568,0,0,0,0
19,2023-05-24 14:30:26.487842,0,0,0,0
25,2023-05-24 14:30:26.563299,0,0,0,0
19,2023-05-24 14:30:26.625875,0,0,0,0
16,2023-05-24 14:30:26.692145,0,0,0,0
20,2023-05-24 14:30:26.764556,0,0,0,0
19,2023-05-24 14:30:26.832303,0,0,0,0
20,2023-05-24 14:30:26.901545,0,0,0,0
20,2023-05-24 14:30:26.970098,0,0,0,0
19,2023-05-24 14:30:27.037277,0,0,0,0
40,2023-05-24 14:30:27.126998,0,0,0,0
16,2023-05-24 14:30:27.177904,0,0,0,0
18,2023-05-24 14:30:27.248590,0,0,0,0
32,2023-05-24 14:30:27.330466,0,0,0,0
21,2023-05-24 14:30:27.387328,0,0,0,0
21,2023-05-24 14:30:27.455396,0,0,0,0
23,2023-05-24 14:30:27.526189,0,0,0,0
20,2023-05-24 14:30:27.591877,0,0,0,0
20,2023-05-24 14:30:27.659654,0,0,0,0
21,2023-05-24 14:30:27.729038,0,0,0,0
47,2023-05-24 14:30:27.823555,0,0,0,0
21,2023-05-24 14:30:27.880300,0,0,0,0
17,2023-05-24 14:30:27.945027,0,0,0,0
18,2023-05-24 14:30:28.014338,0,0,0,0
16,2023-05-24 14:30:28.081586,0,0,0,0
18,2023-05-24 14:30:28.152338,0,0,0,0
16,2023-05-24 14:30:28.219363,0,0,0,0
16,2023-05-24 14:30:28.288080,0,0,0,0
20,2023-05-24 14:30:28.360773,0,0,0,0
27,2023-05-24 14:30:28.437147,0,0,0,0
18,2023-05-24 14:30:28.497126,0,0,0,0
17,2023-05-24 14:30:28.565070,0,0,0,0
18,2023-05-24 14:30:28.634729,0,0,0,0
17,2023-05-24 14:30:28.702974,0,0,0,0
22,2023-05-24 14:30:28.776781,0,0,0,0
20,2023-05-24 14:30:28.843955,0,0,0,0
18,2023-05-24 14:30:28.911426,0,0,0,0
19,2023-05-24 14:30:28.981724,0,0,0,0
