execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,bitrate,success,within_time,distance
7,2023-05-31 15:00:03.361385,92.3,46.9,102240,30,3067200,True,True,11
7,2023-05-31 15:00:03.368950,84.6,46.9,102240,30,3067200,True,True,17
8,2023-05-31 15:00:03.377269,90.9,46.9,102240,30,3067200,True,True,9
8,2023-05-31 15:00:03.385685,84.6,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:03.393960,85.7,46.9,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.401803,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:03.410927,85.7,46.9,102240,30,3067200,True,True,14
8,2023-05-31 15:00:03.419490,83.3,46.9,102240,30,3067200,True,True,10
8,2023-05-31 15:00:03.427981,92.3,46.9,102240,30,3067200,True,True,12
8,2023-05-31 15:00:03.436675,84.6,46.9,102240,30,3067200,True,True,13
8,2023-05-31 15:00:03.445393,88.2,46.9,102240,30,3067200,True,True,10
9,2023-05-31 15:00:03.455032,78.6,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.464757,80.0,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.474269,87.5,46.9,102240,30,3067200,True,True,14
9,2023-05-31 15:00:03.483895,78.6,46.9,102240,30,3067200,True,True,10
9,2023-05-31 15:00:03.493547,84.2,46.9,102240,30,3067200,True,True,11
9,2023-05-31 15:00:03.503145,83.3,46.9,102240,30,3067200,True,True,11
9,2023-05-31 15:00:03.512841,78.6,46.9,102240,30,3067200,True,True,8
9,2023-05-31 15:00:03.522422,82.4,46.9,102240,30,3067200,True,True,8
9,2023-05-31 15:00:03.532159,78.6,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.541679,88.9,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.551357,78.6,46.9,102240,30,3067200,True,True,6
9,2023-05-31 15:00:03.561446,84.2,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.571114,76.9,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.580742,84.6,46.9,102240,30,3067200,True,True,4
9,2023-05-31 15:00:03.590540,82.4,46.9,102240,30,3067200,True,True,6
9,2023-05-31 15:00:03.600237,78.6,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.610083,84.2,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.619730,84.6,46.9,102240,30,3067200,True,True,3
9,2023-05-31 15:00:03.629242,84.2,46.9,102240,30,3067200,True,True,6
9,2023-05-31 15:00:03.639155,76.9,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.648891,84.2,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.658553,83.3,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.668182,76.9,46.9,102240,30,3067200,True,True,7
9,2023-05-31 15:00:03.677901,85.0,46.9,102240,30,3067200,True,True,7
11,2023-05-31 15:00:03.689227,89.5,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.699036,75.0,46.9,102240,30,3067200,True,True,4
9,2023-05-31 15:00:03.708625,78.6,46.9,102240,30,3067200,True,True,3
9,2023-05-31 15:00:03.718439,82.4,46.9,102240,30,3067200,True,True,4
9,2023-05-31 15:00:03.728251,85.7,46.9,102240,30,3067200,True,True,2
9,2023-05-31 15:00:03.737886,84.2,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.747326,78.6,46.9,102240,30,3067200,True,True,5
9,2023-05-31 15:00:03.756784,84.6,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:03.766743,83.3,46.9,102240,30,3067200,True,True,15
10,2023-05-31 15:00:03.777070,83.3,46.9,102240,30,3067200,True,True,13
9,2023-05-31 15:00:03.787163,78.6,46.9,102240,30,3067200,True,True,15
9,2023-05-31 15:00:03.796899,88.9,46.9,102240,30,3067200,True,True,18
9,2023-05-31 15:00:03.806794,75.0,46.9,102240,30,3067200,True,True,24
9,2023-05-31 15:00:03.816802,78.6,46.9,102240,30,3067200,True,True,23
9,2023-05-31 15:00:03.826683,83.3,46.9,102240,30,3067200,True,True,17
12,2023-05-31 15:00:03.839067,85.0,46.9,102240,30,3067200,True,True,15
8,2023-05-31 15:00:03.848379,84.6,46.9,102240,30,3067200,True,True,23
