delta,timestamp
11,2022-02-07 22:49:28.159864
11,2022-02-07 22:49:28.192865
11,2022-02-07 22:49:28.227880
10,2022-02-07 22:49:28.264017
11,2022-02-07 22:49:28.301102
10,2022-02-07 22:49:28.334302
10,2022-02-07 22:49:28.369543
9,2022-02-07 22:49:28.407810
10,2022-02-07 22:49:28.438808
12,2022-02-07 22:49:28.473872
13,2022-02-07 22:49:28.510869
14,2022-02-07 22:49:28.544809
14,2022-02-07 22:49:28.578818
12,2022-02-07 22:49:28.610809
12,2022-02-07 22:49:28.644820
12,2022-02-07 22:49:28.679810
12,2022-02-07 22:49:28.713822
13,2022-02-07 22:49:28.748811
13,2022-02-07 22:49:28.786817
11,2022-02-07 22:49:28.818807
12,2022-02-07 22:49:28.854828
10,2022-02-07 22:49:28.886807
10,2022-02-07 22:49:28.921810
11,2022-02-07 22:49:28.958860
11,2022-02-07 22:49:28.993809
11,2022-02-07 22:49:29.027890
12,2022-02-07 22:49:29.061864
11,2022-02-07 22:49:29.098931
10,2022-02-07 22:49:29.133949
11,2022-02-07 22:49:29.169948
10,2022-02-07 22:49:29.206948
11,2022-02-07 22:49:29.238957
11,2022-02-07 22:49:29.273956
12,2022-02-07 22:49:29.308955
11,2022-02-07 22:49:29.343948
12,2022-02-07 22:49:29.373950
11,2022-02-07 22:49:29.402950
11,2022-02-07 22:49:29.435951
13,2022-02-07 22:49:29.473956
11,2022-02-07 22:49:29.499951
10,2022-02-07 22:49:29.527948
12,2022-02-07 22:49:29.557967
10,2022-02-07 22:49:29.588948
10,2022-02-07 22:49:29.621949
11,2022-02-07 22:49:29.653949
10,2022-02-07 22:49:29.688948
10,2022-02-07 22:49:29.723952
11,2022-02-07 22:49:29.759948
12,2022-02-07 22:49:29.794975
11,2022-02-07 22:49:29.828948
11,2022-02-07 22:49:29.862950
11,2022-02-07 22:49:29.898950
10,2022-02-07 22:49:29.933977
11,2022-02-07 22:49:29.969170
10,2022-02-07 22:49:30.004168
9,2022-02-07 22:49:30.037167
9,2022-02-07 22:49:30.073167
12,2022-02-07 22:49:30.110171
11,2022-02-07 22:49:30.145170
11,2022-02-07 22:49:30.181178
11,2022-02-07 22:49:30.217169
12,2022-02-07 22:49:30.241176
10,2022-02-07 22:49:30.260177
12,2022-02-07 22:49:30.282175
11,2022-02-07 22:49:30.295175
11,2022-02-07 22:49:30.320171
11,2022-02-07 22:49:30.341177
11,2022-02-07 22:49:30.373170
11,2022-02-07 22:49:30.410170
11,2022-02-07 22:49:30.445169
10,2022-02-07 22:49:30.481168
13,2022-02-07 22:49:30.517227
10,2022-02-07 22:49:30.549027
11,2022-02-07 22:49:30.585403
14,2022-02-07 22:49:30.621212
15,2022-02-07 22:49:30.656221
12,2022-02-07 22:49:30.685210
13,2022-02-07 22:49:30.718211
11,2022-02-07 22:49:30.747211
10,2022-02-07 22:49:30.778211
11,2022-02-07 22:49:30.809209
12,2022-02-07 22:49:30.841211
13,2022-02-07 22:49:30.870215
10,2022-02-07 22:49:30.890214
15,2022-02-07 22:49:30.917213
14,2022-02-07 22:49:30.933211
13,2022-02-07 22:49:30.960210
13,2022-02-07 22:49:30.976209
12,2022-02-07 22:49:31.025210
13,2022-02-07 22:49:31.052216
11,2022-02-07 22:49:31.065209
11,2022-02-07 22:49:31.090212
13,2022-02-07 22:49:31.121213
13,2022-02-07 22:49:31.156210
11,2022-02-07 22:49:31.188210
12,2022-02-07 22:49:31.221211
11,2022-02-07 22:49:31.254215
12,2022-02-07 22:49:31.294209
11,2022-02-07 22:49:31.326210
12,2022-02-07 22:49:31.359211
12,2022-02-07 22:49:31.396218
11,2022-02-07 22:49:31.431211
14,2022-02-07 22:49:31.471275
13,2022-02-07 22:49:31.505211
11,2022-02-07 22:49:31.540210
13,2022-02-07 22:49:31.574219
12,2022-02-07 22:49:31.609210
12,2022-02-07 22:49:31.645213
14,2022-02-07 22:49:31.672220
14,2022-02-07 22:49:31.688215
12,2022-02-07 22:49:31.714209
12,2022-02-07 22:49:31.736210
13,2022-02-07 22:49:31.764216
14,2022-02-07 22:49:31.803211
12,2022-02-07 22:49:31.836210
12,2022-02-07 22:49:31.859211
19,2022-02-07 22:49:31.891213
20,2022-02-07 22:49:31.981215
12,2022-02-07 22:49:31.996211
13,2022-02-07 22:49:32.026210
15,2022-02-07 22:49:32.043218
14,2022-02-07 22:49:32.075216
13,2022-02-07 22:49:32.109211
13,2022-02-07 22:49:32.142209
13,2022-02-07 22:49:32.167218
12,2022-02-07 22:49:32.195209
13,2022-02-07 22:49:32.240212
13,2022-02-07 22:49:32.274210
12,2022-02-07 22:49:32.308211
13,2022-02-07 22:49:32.341212
10,2022-02-07 22:49:32.380211
15,2022-02-07 22:49:32.423211
15,2022-02-07 22:49:32.455212
13,2022-02-07 22:49:32.490214
13,2022-02-07 22:49:32.528214
12,2022-02-07 22:49:32.553211
12,2022-02-07 22:49:32.567210
11,2022-02-07 22:49:32.592212
11,2022-02-07 22:49:32.615210
10,2022-02-07 22:49:32.667210
13,2022-02-07 22:49:32.710216
13,2022-02-07 22:49:32.754382
12,2022-02-07 22:49:32.792551
9,2022-02-07 22:49:32.829889
11,2022-02-07 22:49:32.868627
10,2022-02-07 22:49:32.905668
10,2022-02-07 22:49:32.942481
10,2022-02-07 22:49:32.980756
10,2022-02-07 22:49:33.019943
10,2022-02-07 22:49:33.057863
12,2022-02-07 22:49:33.097217
12,2022-02-07 22:49:33.135248
10,2022-02-07 22:49:33.177229
13,2022-02-07 22:49:33.213232
12,2022-02-07 22:49:33.250239
11,2022-02-07 22:49:33.289238
11,2022-02-07 22:49:33.328229
11,2022-02-07 22:49:33.367610
11,2022-02-07 22:49:33.406739
15,2022-02-07 22:49:33.446964
11,2022-02-07 22:49:33.481927
11,2022-02-07 22:49:33.520109
11,2022-02-07 22:49:33.557132
11,2022-02-07 22:49:33.595995
11,2022-02-07 22:49:33.634470
10,2022-02-07 22:49:33.670659
11,2022-02-07 22:49:33.711575
10,2022-02-07 22:49:33.747831
10,2022-02-07 22:49:33.785048
9,2022-02-07 22:49:33.823155
12,2022-02-07 22:49:33.862369
11,2022-02-07 22:49:33.898413
10,2022-02-07 22:49:33.936418
12,2022-02-07 22:49:33.974633
10,2022-02-07 22:49:34.012809
10,2022-02-07 22:49:34.045909
9,2022-02-07 22:49:34.079909
11,2022-02-07 22:49:34.115910
12,2022-02-07 22:49:34.150910
10,2022-02-07 22:49:34.183908
12,2022-02-07 22:49:34.217941
11,2022-02-07 22:49:34.250912
10,2022-02-07 22:49:34.283908
11,2022-02-07 22:49:34.317929
11,2022-02-07 22:49:34.351916
9,2022-02-07 22:49:34.384908
